Timestamp,delta RT 412,delta RT 411,delta RT 410,delta RT 409,delta RT 408,delta RT 407,delta RT 415
12/9/2016 0:45,0.39879227,0.00280571,-0.3303318,-0.26892662,0.28951645,-0.40525818,-0.12423897
12/9/2016 1:00,0.28969193,-0.05505562,-0.23925781,-0.31892967,0.31871796,-0.39811707,-0.09376335
12/9/2016 1:15,0.39686775,-0.058137894,-0.393301,-0.25570297,0.18539047,-0.3967247,-0.035966873
12/9/2016 1:30,0.34370232,-0.006217957,-0.3250389,-0.25294304,0.29982376,-0.2096119,-0.047174454
12/9/2016 1:45,0.27446175,-0.05996132,-0.32292175,-0.24952126,0.27552795,-0.29284286,-0.049459457
12/9/2016 2:00,0.31272888,-0.04746437,-0.3476448,-0.2498455,0.13652802,-0.3551979,-0.0456028
12/9/2016 2:15,0.31890678,-0.04291153,-0.24021721,-0.2330246,0.33579636,-0.28308868,-0.1233902
12/9/2016 2:30,0.3864994,-0.042222977,-0.30117607,-0.22809029,0.11769295,-0.42983627,-0.098854065
12/9/2016 2:45,0.30118752,0.06577873,-0.34708786,-0.27066994,0.18717766,-0.2679577,-0.10544968
12/9/2016 3:00,0.20495605,-0.049308777,-0.31402397,-0.22839355,0.19931984,-0.34323502,-0.12812042
12/9/2016 3:15,0.27936745,-0.115924835,-0.28603935,-0.2438736,0.31575775,-0.4048214,-0.087423325
12/9/2016 3:30,0.2524376,-0.06790733,-0.31682396,-0.22042274,0.3275051,-0.42567062,-0.14009857
12/9/2016 3:45,0.24168587,-0.022066116,-0.3963852,-0.20086288,0.19277573,-0.35777473,-0.12431526
12/9/2016 4:00,0.31699944,0.038959503,-0.33063126,-0.176754,0.22755241,-0.31303978,-0.03537178
12/9/2016 4:15,0.283329,0.04323387,-0.26908302,-0.22635269,0.22701645,-0.35903358,-0.017885208
12/9/2016 4:30,0.39087486,-0.019397736,-0.3074131,-0.08392143,0.31383514,-0.33262062,-0.11939812
12/9/2016 4:45,0.3965435,-0.022426605,-0.33791733,-0.05958557,0.31651115,-0.31777382,-0.06832504
12/9/2016 5:00,0.2935028,-0.04741478,-0.34983444,-0.14663887,0.32411957,-0.3468628,0.0838604
12/9/2016 5:15,0.26309204,-0.01367569,-0.3784542,-0.08117676,0.305624,-0.19785309,0.12110138
12/9/2016 5:30,0.21087456,-0.14848518,-0.3808956,-0.23117256,0.13150787,-0.3709793,0.23457336
12/9/2016 5:45,0.12407303,-0.16317749,-0.3119831,-0.18609238,0.1415062,-0.22105026,0.06316185
12/9/2016 6:00,0.19298744,-0.20388031,-0.3733101,-0.20541763,0.13394547,-0.39083862,-0.09371376
12/9/2016 6:15,0.20300674,0.022525787,-0.21777725,-0.20350456,0.22584343,-0.2950039,-0.11333084
12/9/2016 6:30,0.22581863,-0.018987656,0.014705658,-0.15049171,0.36810493,-0.39095497,-0.07783699
12/9/2016 6:45,0.24069405,0.14899635,-0.15395546,-0.22042465,0.38214874,-0.3774624,0.10175896
12/9/2016 7:00,0.27396393,0.11096001,-0.27856636,-0.21507454,0.3506775,-0.20181847,-0.089229584
12/9/2016 7:15,0.25058556,-0.0400486,-0.28643608,-0.3815384,0.28954124,-0.3991108,-0.087753296
12/9/2016 7:30,0.25385666,-0.0230999,-0.37742996,-0.27622414,0.14540863,-0.17189217,-0.082839966
12/9/2016 7:45,0.4053707,-0.008844376,-0.3194332,-0.24855042,0.26363373,-0.26701546,-0.11160278
12/9/2016 8:00,0.23942757,0.014965057,-0.2741871,-0.23937798,0.1477356,-0.3582306,-0.078186035
12/9/2016 8:15,0.27046585,0.036474228,-0.28708076,-0.3715973,0.1453247,-0.27614975,-0.034910202
12/9/2016 8:30,0.37968445,0.029212952,-0.113967896,-0.26018715,0.19017982,-0.36577034,0.075222015
12/9/2016 8:45,0.28007126,0.03006363,-0.3035698,-0.34536552,0.32032585,-0.21085548,-0.05172348
12/9/2016 9:00,0.24538994,0.016937256,-0.24837875,-0.2618103,0.34666252,-0.3638649,-0.0706234
12/9/2016 9:15,0.2135868,-0.025876999,-0.2465992,-0.30548286,0.3245449,-0.18992233,-0.08839989
12/9/2016 9:30,0.24601936,0.12344742,-0.05583954,-0.2694168,0.24750328,-0.23158264,-0.085886
12/9/2016 9:45,0.29285812,0.006448746,-0.21281052,-0.2569542,0.25439453,-0.3785038,-0.03481102
